X[s],"Trigno IM sensor 11: EMG 11 (IM)",X[s],"Trigno IM sensor 11: ACC X 11 (IM)",X[s],"Trigno IM sensor 11: ACC Y 11 (IM)",X[s],"Trigno IM sensor 11: ACC Z 11 (IM)",X[s],"Trigno IM sensor 11: Gyro X 11 (IM)",X[s],"Trigno IM sensor 11: Gyro Y 11 (IM)",X[s],"Trigno IM sensor 11: Gyro Z 11 (IM)",X[s],"Trigno IM sensor 11: Mag X 11 (IM)",X[s],"Trigno IM sensor 11: Mag Y 11 (IM)",X[s],"Trigno IM sensor 11: Mag Z 11 (IM)",X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.0288,0,0.216,-0.2592773,0.216,-0.8017578,0.216,-0.2536621,0.216,-1.290076,0.216,-3.175573,0.216,20.48855,0.432,-56.2,0.432,-124.1,0.432,16.8,0.0288,0,0.216,0.4838867,0.216,-0.7663574,0.216,0.008300781,0.216,44.74046,0.216,-73.64122,0.216,185.9542,0.432,46.9,0.432,50.2,0.432,-275.9
0.0297,0,0.22275,-0.2519531,0.22275,-0.7941895,0.22275,-0.3618164,0.22275,-2.21374,0.22275,3.740458,0.22275,19.74809,0.4455,-57.1,0.4455,-124.4,0.4455,16.6,0.0297,0,0.22275,0.4802246,0.22275,-0.8444824,0.22275,0.03710938,0.22275,50.48855,0.22275,-78.25954,0.22275,192.2061,0.4455,46.3,0.4455,50.4,0.4455,-274.4
0.0306,0,0.2295,-0.3012695,0.2295,-0.8000488,0.2295,-0.3583984,0.2295,-1.29771,0.2295,8.862596,0.2295,20.55725,0.459,-57.7,0.459,-123.4,0.459,16.1,0.0306,0,0.2295,0.4750977,0.2295,-0.9301758,0.2295,0.01782227,0.2295,55.64885,0.2295,-84.05344,0.2295,197.542,0.459,46,0.459,50.6,0.459,-273.8
0.0315,0,0.23625,-0.3916016,0.23625,-0.7895508,0.23625,-0.3017578,0.23625,-0.1603053,0.23625,12.59542,0.23625,21.81679,0.4725,-58.8,0.4725,-123,0.4725,15.7,0.0315,0,0.23625,0.5163574,0.23625,-1.015381,0.23625,-0.01708984,0.23625,62.9084,0.23625,-94.63359,0.23625,202.313,0.4725,44.7,0.4725,51.1,0.4725,-273.6
0.0324,0,0.243,-0.4433594,0.243,-0.795166,0.243,-0.2885742,0.243,-0.6564885,0.243,2.839695,0.243,23.35114,0.486,-60.6,0.486,-122,0.486,14.3,0.0324,0,0.243,0.5944824,0.243,-1.076172,0.243,-0.0456543,0.243,68.45802,0.243,-98.07633,0.243,205.145,0.486,43.4,0.486,50.6,0.486,-272.2
0.0333,0,0.24975,-0.4353027,0.24975,-0.7954102,0.24975,-0.3007813,0.24975,-2.244275,0.24975,-1.076336,0.24975,24.46565,0.4995,-61.6,0.4995,-121.1,0.4995,14.4,0.0333,0,0.24975,0.6853027,0.24975,-1.045898,0.24975,-0.0949707,0.24975,76.90839,0.24975,-95.28244,0.24975,207.1603,0.4995,43.4,0.4995,50.4,0.4995,-274.5
0.0342,0,0.2565,-0.3334961,0.2565,-0.7856445,0.2565,-0.3947754,0.2565,-4.633588,0.2565,0.1984733,0.2565,23.51908,0.513,-62.2,0.513,-121,0.513,13.6,0.0342,0,0.2565,0.7255859,0.2565,-1.018066,0.2565,-0.1191406,0.2565,80.14503,0.2565,-71.87023,0.2565,209.1985,0.513,43.1,0.513,50.5,0.513,-275.7
0.0351,0,0.26325,-0.298584,0.26325,-0.8027344,0.26325,-0.2670898,0.26325,-1.229008,0.26325,-4.61832,0.26325,22.29008,0.5265,-63.4,0.5265,-120.2,0.5265,12.9,0.0351,0,0.26325,0.7727051,0.26325,-0.9995117,0.26325,-0.06542969,0.26325,72.47328,0.26325,-48.22901,0.26325,210.8168,0.5265,40.9,0.5265,51.5,0.5265,-271.4
0.036,0,0.27,-0.3063965,0.27,-0.8244629,0.27,-0.2819824,0.27,-1.366412,0.27,-2.587786,0.27,22.25954,0.54,-64.1,0.54,-120.3,0.54,12.2,0.036,0,0.27,0.7705078,0.27,-0.9726563,0.27,-0.03173828,0.27,78.00764,0.27,-30.68702,0.27,210.2137,0.54,39.8,0.54,51.7,0.54,-271.4
0.0369,0,0.27675,-0.3256836,0.27675,-0.8166504,0.27675,-0.3237305,0.27675,-0.961832,0.27675,-3.450382,0.27675,23.1145,0.5535,-64.9,0.5535,-119.5,0.5535,13.2,0.0369,0,0.27675,0.7397461,0.27675,-0.9555664,0.27675,-0.04003906,0.27675,80.58015,0.27675,-10.21374,0.27675,210.1527,0.5535,39.1,0.5535,51.6,0.5535,-269.8
0.0378,0,0.2835,-0.3659668,0.2835,-0.7978516,0.2835,-0.2802734,0.2835,-0.7862595,0.2835,-1.061069,0.2835,23.68702,0.567,-65.4,0.567,-118.9,0.567,11.1,0.0378,0,0.2835,0.6904297,0.2835,-0.9367676,0.2835,-0.05688477,0.2835,78.19847,0.2835,2.251908,0.2835,210.6718,0.567,37.8,0.567,50.8,0.567,-269.8
0.0387,0,0.29025,-0.3198242,0.29025,-0.7929688,0.29025,-0.3520508,0.29025,-3.122137,0.29025,-7.534351,0.29025,23.45038,0.5805,-65.9,0.5805,-118.7,0.5805,10,0.0387,0,0.29025,0.6237793,0.29025,-0.9309082,0.29025,-0.06274414,0.29025,74.12977,0.29025,15.41985,0.29025,211.0916,0.5805,37.6,0.5805,51,0.5805,-269.5
0.0396,0,0.297,-0.2912598,0.297,-0.8410645,0.297,-0.2207031,0.297,-1.541985,0.297,-13.8855,0.297,22.32825,0.594,-68.7,0.594,-116.6,0.594,6.1,0.0396,0,0.297,0.545166,0.297,-0.9533691,0.297,-0.06469727,0.297,68.40458,0.297,18.72519,0.297,210.8931,0.594,36.7,0.594,50.8,0.594,-269.1
0.0405,-2.467384E-05,0.30375,-0.2294922,0.30375,-0.8625488,0.30375,-0.3137207,0.30375,-3.114504,0.30375,-12.94656,0.30375,20.72519,0.6075,-69,0.6075,-116.1,0.6075,4.6,0.0405,2.198825E-05,0.30375,0.4689941,0.30375,-0.9880371,0.30375,-0.046875,0.30375,64.19084,0.30375,13.30534,0.30375,210.542,0.6075,36.5,0.6075,51.1,0.6075,-270.8
0.0414,-3.843748E-05,0.3105,-0.1999512,0.3105,-0.8598633,0.3105,-0.3098145,0.3105,-1.717557,0.3105,-14.12214,0.3105,19.9313,0.621,-69.6,0.621,-115.6,0.621,3.2,0.0414,3.390555E-05,0.3105,0.4018555,0.3105,-1.037109,0.3105,-0.02197266,0.3105,62.92366,0.3105,5.412214,0.3105,210.3206,0.621,35.8,0.621,51.5,0.621,-270.6
0.0423,-2.265965E-05,0.31725,-0.232666,0.31725,-0.8513184,0.31725,-0.2617188,0.31725,-1.793893,0.31725,-8.854961,0.31725,19.77863,0.6345,-69.9,0.6345,-115.7,0.6345,4.3,0.0423,1.141375E-05,0.31725,0.3381348,0.31725,-1.089844,0.31725,-0.007568359,0.31725,64.70992,0.31725,-11.50382,0.31725,210.7176,0.6345,35.1,0.6345,50.3,0.6345,-270.7
0.0432,-6.042573E-06,0.324,-0.2502441,0.324,-0.8271484,0.324,-0.3657227,0.324,-3.969466,0.324,-5.61832,0.324,21.26718,0.648,-70.1,0.648,-114.5,0.648,5,0.0432,2.265965E-05,0.324,0.3034668,0.324,-1.12207,0.324,-0.003173828,0.324,69.80916,0.324,-34.41221,0.324,210.7557,0.648,33.4,0.648,50.5,0.648,-271.2
0.0441,2.970932E-05,0.33075,-0.3115234,0.33075,-0.8088379,0.33075,-0.2836914,0.33075,-2.282443,0.33075,-8.221375,0.33075,23.9084,0.6615,-70.4,0.6615,-113.6,0.6615,6.4,0.0441,2.467384E-05,0.33075,0.3115234,0.33075,-1.165527,0.33075,-0.01416016,0.33075,74.72519,0.33075,-56.03053,0.33075,210.7252,0.6615,33,0.6615,50.5,0.6615,-271
0.045,3.457694E-05,0.3375,-0.3330078,0.3375,-0.7990723,0.3375,-0.3225098,0.3375,-4.007634,0.3375,-13.35114,0.3375,26.03053,0.675,-70.3,0.675,-113.7,0.675,5.4,0.045,1.19173E-05,0.3375,0.3725586,0.3375,-1.209473,0.3375,-0.07836914,0.3375,80.63359,0.3375,-71.21374,0.3375,209.0458,0.675,32.1,0.675,50.6,0.675,-268.4
0.0459,1.493858E-05,0.34425,-0.3381348,0.34425,-0.8083496,0.34425,-0.2568359,0.34425,-4.366412,0.34425,-19.72519,0.34425,28.05343,0.6885,-69.8,0.6885,-114.9,0.6885,3.2,0.0459,1.443503E-05,0.34425,0.4299316,0.34425,-1.219238,0.34425,-0.08618164,0.34425,85.15267,0.34425,-78.33588,0.34425,205.8168,0.6885,31.9,0.6885,50.5,0.6885,-269.4
