X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.0387,0,0.29025,-0.8041992,0.29025,0.1911621,0.29025,0.4228516,0.29025,17.0916,0.29025,0.1908397,0.29025,37.25954,0.5805,-90.4,0.5805,-67.5,0.5805,28.9
0.0396,0,0.297,-0.9003906,0.297,0.1992188,0.297,0.3850098,0.297,9.519084,0.297,6.40458,0.297,26.71756,0.594,-89,0.594,-65.1,0.594,30
0.0405,-0.0004125734,0.30375,-1.005127,0.30375,0.08984375,0.30375,0.5563965,0.30375,12.75572,0.30375,-1.244275,0.30375,25.40458,0.6075,-87.1,0.6075,-62.5,0.6075,30.4
0.0414,-0.0004018311,0.3105,-0.7993164,0.3105,0.1311035,0.3105,0.4160156,0.3105,7.229008,0.3105,2.572519,0.3105,29.48855,0.621,-85.1,0.621,-59.6,0.621,32.2
0.0423,-0.0004088807,0.31725,-0.9348145,0.31725,0.112793,0.31725,0.4182129,0.31725,12.36641,0.31725,7.519084,0.31725,23.74809,0.6345,-82.6,0.6345,-57.2,0.6345,32.5
0.0432,-0.0004231479,0.324,-0.9436035,0.324,0.08935547,0.324,0.2868652,0.324,2.48855,0.324,7.122138,0.324,23.0687,0.648,-79.5,0.648,-54.5,0.648,31.8
0.0441,-0.0004026703,0.33075,-1.017578,0.33075,0.002929688,0.33075,0.482666,0.33075,8.526717,0.33075,2.259542,0.33075,21.9771,0.6615,-73.1,0.6615,-50.3,0.6615,33.6
0.045,-0.0003934386,0.3375,-0.8918457,0.3375,0.1437988,0.3375,0.4291992,0.3375,14.16794,0.3375,1.038168,0.3375,30.51908,0.675,-68.7,0.675,-48.9,0.675,34.1
0.0459,-0.0004080415,0.34425,-0.9438477,0.34425,0.1376953,0.34425,0.2780762,0.34425,3.977099,0.34425,7.832061,0.34425,23.03053,0.6885,-63.8,0.6885,-47.2,0.6885,34.7
0.0468,-0.0004070344,0.351,-1.128418,0.351,-0.02099609,0.351,0.3703613,0.351,6.19084,0.351,-1.496183,0.351,18.54198,0.702,-58.6,0.702,-46.1,0.702,34.7
0.0477,-0.0004038453,0.35775,-0.864502,0.35775,-0.03955078,0.35775,0.3637695,0.35775,11.0687,0.35775,-3.847328,0.35775,26.14504,0.7155,-53,0.7155,-45.6,0.7155,34.9
0.0486,-0.0004078737,0.3645,-0.8752441,0.3645,0.04052734,0.3645,0.333252,0.3645,22.01527,0.3645,1.923664,0.3645,26.0229,0.729,-47.1,0.729,-46,0.729,36.1
0.0495,-0.0004213016,0.37125,-1.011475,0.37125,0.112793,0.37125,0.2751465,0.37125,25.8855,0.37125,0.7251908,0.37125,26.9542,0.7425,-42.8,0.7425,-46.7,0.7425,34.5
0.0504,-0.000443122,0.378,-0.9614258,0.378,0.1313477,0.378,0.387207,0.378,18.63359,0.378,-6.847328,0.378,29.58779,0.756,-40.5,0.756,-47.8,0.756,35.7
0.0513,-0.0004783703,0.38475,-0.8679199,0.38475,0.09057617,0.38475,0.3618164,0.38475,19.14504,0.38475,-4.610687,0.38475,28.29771,0.7695,-39.8,0.7695,-49.3,0.7695,33.7
0.0522,-0.0005273823,0.3915,-0.8886719,0.3915,0.09082031,0.3915,0.2478027,0.3915,19.90076,0.3915,-0.2442748,0.3915,28.32825,0.783,-41.6,0.783,-49.7,0.783,34.3
0.0531,-0.0005649806,0.39825,-1.003662,0.39825,-0.07299805,0.39825,0.378418,0.39825,19.07634,0.39825,-9.679389,0.39825,35.21374,0.7965,-44.3,0.7965,-49.7,0.7965,33.3
0.054,-0.0005894865,0.405,-0.7407227,0.405,0.2133789,0.405,0.4743652,0.405,30.49618,0.405,0.9007633,0.405,30.51908,0.81,-46.5,0.81,-50.9,0.81,32.3
0.0549,-0.0006243992,0.41175,-0.9384766,0.41175,0.1882324,0.41175,0.3874512,0.41175,13.16794,0.41175,-2.923664,0.41175,30.45038,0.8235,-47.9,0.8235,-51.7,0.8235,32.9
0.0558,-0.0006363164,0.4185,-0.9221191,0.4185,-0.01318359,0.4185,0.4006348,0.4185,13.54198,0.4185,0.4122137,0.4185,32.84733,0.837,-50,0.837,-53.1,0.837,32.5
0.0567,-0.0006235599,0.42525,-0.9709473,0.42525,0.08203125,0.42525,0.5273438,0.42525,26.34351,0.42525,-6.770992,0.42525,38.25954,0.8505,-53.5,0.8505,-53.6,0.8505,31.6
0.0576,-0.0006311132,0.432,-0.8041992,0.432,0.1550293,0.432,0.3659668,0.432,21.41221,0.432,-3.763359,0.432,43.16794,0.864,-56.2,0.864,-55.4,0.864,32.6
0.0585,-0.0006452125,0.43875,-0.9631348,0.43875,0.04077148,0.43875,0.2902832,0.43875,20.42748,0.43875,-0.259542,0.43875,39.91603,0.8775,-59.5,0.8775,-56.5,0.8775,32.2
0.0594,-0.0008029907,0.4455,-0.980957,0.4455,0.1115723,0.4455,0.4589844,0.4455,25.61069,0.4455,-12.76336,0.4455,47.42748,0.891,-62.9,0.891,-58.7,0.891,30.8
0.0603,-0.001007095,0.45225,-0.779541,0.45225,0.09716797,0.45225,0.3635254,0.45225,21.46565,0.45225,-9.519084,0.45225,50.57252,0.9045,-70.7,0.9045,-63.4,0.9045,29.7
0.0612,-0.001193576,0.459,-0.9208984,0.459,0.02368164,0.459,0.2475586,0.459,27.94657,0.459,0.3129771,0.459,50.71756,0.918,-73.7,0.918,-66.1,0.918,30.5
0.0621,-0.00125803,0.46575,-1.102051,0.46575,0.1811523,0.46575,0.4130859,0.46575,37.9771,0.46575,-10.96183,0.46575,57.94656,0.9315,-76.7,0.9315,-69.5,0.9315,28.3
0.063,-0.001178973,0.4725,-0.7416992,0.4725,0.232666,0.4725,0.375,0.4725,22.21374,0.4725,-11.9542,0.4725,58.42748,0.945,-79.7,0.945,-73.9,0.945,29.8
0.0639,-0.00108632,0.47925,-0.9519043,0.47925,0.02563477,0.47925,0.394043,0.47925,29.96947,0.47925,-3.625954,0.47925,54,0.9585,-82.4,0.9585,-77.6,0.9585,28.6
0.0648,-0.00139382,0.486,-1.038818,0.486,0.1870117,0.486,0.4477539,0.486,41.05344,0.486,-12.69466,0.486,58.61069,0.972,-84,0.972,-81.9,0.972,28.1
0.0657,-0.001593896,0.49275,-0.845459,0.49275,0.201416,0.49275,0.3886719,0.49275,29.01527,0.49275,-9.648855,0.49275,57.98473,0.9855,-86.5,0.9855,-86.7,0.9855,25.8
0.0666,-0.001430075,0.4995,-1.004883,0.4995,0.1540527,0.4995,0.4267578,0.4995,38.86259,0.4995,-6.366412,0.4995,59.1145,0.999,-87.6,0.999,-92.1,0.999,25.7
0.0675,-0.0002185397,0.50625,-1.002686,0.50625,0.2587891,0.50625,0.3408203,0.50625,38.59542,0.50625,-7.687023,0.50625,60.94656,1.0125,-88.9,1.0125,-103.5,1.0125,23.9
0.0684,0.0001777523,0.513,-1.101563,0.513,0.239502,0.513,0.4196777,0.513,40.80916,0.513,-9.129771,0.513,63.06107,1.026,-88.1,1.026,-110.6,1.026,21.6
0.0693,-8.845655E-05,0.51975,-1.078613,0.51975,0.2214355,0.51975,0.4074707,0.51975,46.05344,0.51975,-7.793893,0.51975,66.83969,1.0395,-85.4,1.0395,-117.6,1.0395,19.8
0.0702,-0.0005891509,0.5265,-1.059082,0.5265,0.138916,0.5265,0.4018555,0.5265,43.50382,0.5265,-6.480916,0.5265,68.32825,1.053,-80.4,1.053,-125,1.053,17.5
0.0711,-0.0009389486,0.53325,-1.246094,0.53325,0.152832,0.53325,0.4921875,0.53325,62.16031,0.53325,-7.351145,0.53325,76.09161,1.0665,-75.2,1.0665,-131.2,1.0665,15.6
0.072,-0.001460288,0.54,-1.213623,0.54,0.2695313,0.54,0.454834,0.54,57.21374,0.54,-13.81679,0.54,82.19084,1.08,-68.3,1.08,-136.2,1.08,14.8
0.0729,-0.001765438,0.54675,-1.145752,0.54675,0.01489258,0.54675,0.420166,0.54675,51.77863,0.54675,-7.08397,0.54675,79.28244,1.0935,-61.6,1.0935,-138.6,1.0935,13.5
0.07380001,-0.001709041,0.5535,-1.313477,0.5535,0.09399414,0.5535,0.4228516,0.5535,78.67175,0.5535,-4.51145,0.5535,93.29771,1.107,-55.6,1.107,-139.3,1.107,13.1
0.07470001,-0.001426047,0.56025,-1.342041,0.56025,0.314209,0.56025,0.4487305,0.56025,68.29771,0.56025,-10.60305,0.56025,105.9771,1.1205,-51.1,1.1205,-140.1,1.1205,13.6
0.0756,-0.001082292,0.567,-1.281982,0.567,0.1315918,0.567,0.3898926,0.567,60.61832,0.567,-8.984733,0.567,106.2443,1.134,-47.2,1.134,-141.4,1.134,12.4
0.0765,-0.0006621652,0.57375,-1.245361,0.57375,-0.03564453,0.57375,0.2463379,0.57375,67.53435,0.57375,-4.290076,0.57375,109.5878,1.1475,-47.9,1.1475,-141.1,1.1475,12.2
0.0774,-0.0002234073,0.5805,-1.44043,0.5805,0.2768555,0.5805,0.4282227,0.5805,88.07633,0.5805,-5.137404,0.5805,136.542,1.161,-50.4,1.161,-141.7,1.161,11.5
0.0783,4.59907E-05,0.58725,-1.357178,0.58725,0.1660156,0.58725,0.2619629,0.58725,51.67939,0.58725,-5.725191,0.58725,134.8015,1.1745,-53.6,1.1745,-142.7,1.1745,10.7
0.0792,0.0001574426,0.594,-1.330322,0.594,-0.1418457,0.594,0.4702148,0.594,64,0.594,-2.038168,0.594,144.1374,1.188,-57.1,1.188,-143.1,1.188,9.2
0.0801,0.0003650721,0.60075,-1.400391,0.60075,-0.005126953,0.60075,0.5366211,0.60075,87.87786,0.60075,0.9389313,0.60075,159.8931,1.2015,-60.3,1.2015,-142.7,1.2015,7.6
0.081,0.0005074082,0.6075,-1.448242,0.6075,-0.05249023,0.6075,0.6015625,0.6075,68.48092,0.6075,-0.4427481,0.6075,164.4351,1.215,-64.5,1.215,-142.2,1.215,7.6
0.0819,0.0007202411,0.61425,-1.362549,0.61425,-0.3833008,0.61425,0.59375,0.61425,77.38168,0.61425,1.381679,0.61425,164.5114,1.2285,-71.8,1.2285,-139.2,1.2285,8.1
0.0828,0.0009102464,0.621,-1.428955,0.621,-0.2946777,0.621,0.6269531,0.621,113.2901,0.621,11.52672,0.621,180.1069,1.242,-80.4,1.242,-132.6,1.242,5.2
0.0837,0.000972015,0.62775,-1.574219,0.62775,-0.2399902,0.62775,0.5444336,0.62775,117.3588,0.62775,15.61069,0.62775,188.145,1.2555,-84.3,1.2555,-130.3,1.2555,6.8
0.0846,0.0009290456,0.6345,-1.707275,0.6345,-0.5998535,0.6345,0.4033203,0.6345,118.229,0.6345,17.92366,0.6345,179.5114,1.269,-88,1.269,-127.3,1.269,7.2
0.0855,0.0008659342,0.64125,-1.714844,0.64125,-0.8581543,0.64125,0.5737305,0.64125,143.5267,0.64125,18.45038,0.64125,186.5038,1.2825,-90.1,1.2825,-124,1.2825,8.5
0.0864,0.0008209507,0.648,-1.871094,0.648,-0.5883789,0.648,0.6064453,0.648,190.9542,0.648,33.45802,0.648,217.8473,1.296,-91.9,1.296,-121,1.296,8.6
